Keyword,ad_position_average,ad_position_max,ad_position_min,bid,cpc_average,cpc_max,cpc_min,daily_clicks_average,daily_clicks_max,daily_clicks_min,daily_cost_average,daily_cost_max,daily_cost_min,daily_impressions_average,daily_impressions_max,daily_impressions_min,key,language,loc_id,match,source
geometry,1.06,1.0,1.11,100,0.86,0.94,0.77,0.13,0.15,0.12,0.12,0.13,0.1,4.18,4.6,3.76,geometry,en,2124,exact,scraped
tends,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tends,en,2124,exact,scraped
park,1.06,1.0,1.11,100,0.59,0.65,0.53,0.01,0.01,0.01,0.01,0.01,0.01,0.76,0.84,0.68,park,en,2124,exact,scraped
fakes,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fakes,en,2124,exact,scraped
years,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,years,en,2124,exact,scraped
including,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,including,en,2124,exact,scraped
learn,1.06,1.0,1.11,100,1.96,2.15,1.76,0.41,0.45,0.37,0.81,0.89,0.73,11.02,12.12,9.92,learn,en,2124,exact,scraped
train,1.06,1.0,1.11,100,2.5,2.75,2.25,1.05,1.15,0.94,2.62,2.88,2.36,37.25,40.97,33.52,train,en,2124,exact,scraped
language,1.06,1.0,1.11,100,0.78,0.86,0.7,0.05,0.05,0.04,0.04,0.04,0.04,3.04,3.34,2.74,language,en,2124,exact,scraped
notebooks,1.06,1.0,1.11,100,0.74,0.81,0.66,3.23,3.55,2.91,2.38,2.61,2.14,105.47,116.01,94.92,notebooks,en,2124,exact,scraped
optimal,1.06,1.0,1.11,100,3.69,4.06,3.33,0.76,0.84,0.69,2.82,3.11,2.54,53.21,58.53,47.89,optimal,en,2124,exact,scraped
deactivate,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deactivate,en,2124,exact,scraped
basics,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,basics,en,2124,exact,scraped
grants,1.06,1.0,1.11,100,0.6,0.66,0.54,0.5,0.55,0.45,0.3,0.33,0.27,13.49,14.84,12.14,grants,en,2124,exact,scraped
journey,1.06,1.0,1.11,100,2.71,2.98,2.44,14.85,16.33,13.36,40.23,44.25,36.2,342.63,376.89,308.37,journey,en,2124,exact,scraped
created,1.06,1.0,1.11,100,0.55,0.6,0.49,0.01,0.01,0.01,0.01,0.01,0.01,0.76,0.84,0.68,created,en,2124,exact,scraped
believable,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,believable,en,2124,exact,scraped
hero,1.06,1.0,1.11,100,16.88,18.57,15.19,0.01,0.01,0.01,0.11,0.12,0.1,1.52,1.67,1.37,hero,en,2124,exact,scraped
isnt,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,isnt,en,2124,exact,scraped
updated,1.06,1.0,1.11,100,0.12,0.13,0.1,0.14,0.16,0.13,0.02,0.02,0.01,2.28,2.51,2.05,updated,en,2124,exact,scraped
response,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,response,en,2124,exact,scraped
images,1.06,1.0,1.11,100,3.23,3.55,2.91,0.17,0.19,0.15,0.55,0.6,0.49,12.16,13.38,10.95,images,en,2124,exact,scraped
algorithm,1.06,1.0,1.11,100,0.28,0.31,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.84,0.68,algorithm,en,2124,exact,scraped
locally,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,locally,en,2124,exact,scraped
paperspaces,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paperspaces,en,2124,exact,scraped
definition,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,definition,en,2124,exact,scraped
terms,1.06,1.0,1.11,100,0.23,0.25,0.21,0.06,0.06,0.05,0.01,0.01,0.01,1.52,1.67,1.37,terms,en,2124,exact,scraped
deleting,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,deleting,en,2124,exact,scraped
periods,1.06,1.0,1.11,100,0.2,0.22,0.18,0.05,0.05,0.04,0.01,0.01,0.01,1.52,1.67,1.37,periods,en,2124,exact,scraped
mathematically,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mathematically,en,2124,exact,scraped
minima,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,minima,en,2124,exact,scraped
looking,1.06,1.0,1.11,100,0.28,0.31,0.25,0.3,0.33,0.27,0.08,0.09,0.08,5.51,6.06,4.96,looking,en,2124,exact,scraped
reasonably,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reasonably,en,2124,exact,scraped
complete,1.06,1.0,1.11,100,0.09,0.1,0.08,0.31,0.34,0.28,0.03,0.03,0.03,5.51,6.06,4.96,complete,en,2124,exact,scraped
page,1.06,1.0,1.11,100,0.16,0.18,0.15,0.34,0.37,0.31,0.06,0.06,0.05,7.79,8.57,7.01,page,en,2124,exact,scraped
loads,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,loads,en,2124,exact,scraped
interfaces,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,interfaces,en,2124,exact,scraped
collaborative,1.06,1.0,1.11,100,2.34,2.58,2.11,0.01,0.01,0.01,0.02,0.02,0.01,0.76,0.84,0.68,collaborative,en,2124,exact,scraped
experts,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,experts,en,2124,exact,scraped
details,1.06,1.0,1.11,100,0.43,0.47,0.39,0.18,0.2,0.16,0.08,0.08,0.07,4.56,5.02,4.1,details,en,2124,exact,scraped
generating,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,generating,en,2124,exact,scraped
interactive,1.06,1.0,1.11,100,0.63,0.69,0.57,0.13,0.15,0.12,0.08,0.09,0.08,3.04,3.34,2.74,interactive,en,2124,exact,scraped
pix,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pix,en,2124,exact,scraped
maps,1.06,1.0,1.11,100,0.63,0.69,0.57,3.14,3.46,2.83,1.98,2.18,1.78,46.94,51.63,42.24,maps,en,2124,exact,scraped
sensor,1.06,1.0,1.11,100,1.82,2.0,1.64,0.18,0.2,0.16,0.33,0.36,0.3,12.73,14.01,11.46,sensor,en,2124,exact,scraped
events,1.06,1.0,1.11,100,1.02,1.12,0.92,0.77,0.84,0.69,0.78,0.86,0.7,53.02,58.32,47.72,events,en,2124,exact,scraped
simply,1.06,1.0,1.11,100,0.46,0.51,0.41,0.03,0.03,0.03,0.01,0.02,0.01,0.76,0.84,0.68,simply,en,2124,exact,scraped
registered,1.06,1.0,1.11,100,0.53,0.58,0.48,0.07,0.07,0.06,0.03,0.04,0.03,2.28,2.51,2.05,registered,en,2124,exact,scraped
answer,1.06,1.0,1.11,100,0.15,0.16,0.13,0.34,0.37,0.3,0.05,0.05,0.04,3.23,3.55,2.91,answer,en,2124,exact,scraped
ele,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ele,en,2124,exact,scraped
improving,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,improving,en,2124,exact,scraped
access,1.06,1.0,1.11,100,2.11,2.32,1.89,3.78,4.16,3.4,7.96,8.75,7.16,188.13,206.95,169.32,access,en,2124,exact,scraped
sexual,1.06,1.0,1.11,100,0.4,0.44,0.36,0.25,0.27,0.22,0.1,0.11,0.09,5.7,6.27,5.13,sexual,en,2124,exact,scraped
health,1.06,1.0,1.11,100,0.69,0.76,0.62,1.06,1.17,0.96,0.73,0.81,0.66,53.59,58.95,48.23,health,en,2124,exact,scraped
based,1.06,1.0,1.11,100,0.2,0.22,0.18,0.08,0.09,0.07,0.02,0.02,0.01,1.52,1.67,1.37,based,en,2124,exact,scraped
calculated,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calculated,en,2124,exact,scraped
right,1.06,1.0,1.11,100,0.32,0.35,0.29,0.06,0.07,0.05,0.02,0.02,0.02,1.52,1.67,1.37,right,en,2124,exact,scraped
path,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,path,en,2124,exact,scraped
produced,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,produced,en,2124,exact,scraped
continuation,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,continuation,en,2124,exact,scraped
locale,1.06,1.0,1.11,100,0.33,0.37,0.3,0.24,0.27,0.22,0.08,0.09,0.07,4.75,5.23,4.28,locale,en,2124,exact,scraped
concern,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,concern,en,2124,exact,scraped
content,1.06,1.0,1.11,100,0.21,0.23,0.19,0.55,0.61,0.5,0.12,0.13,0.11,19.76,21.74,17.79,content,en,2124,exact,scraped
photograph,1.06,1.0,1.11,100,1.66,1.82,1.49,0.06,0.07,0.06,0.1,0.11,0.09,3.99,4.39,3.59,photograph,en,2124,exact,scraped
artist,1.06,1.0,1.11,100,0.72,0.79,0.64,0.13,0.14,0.11,0.09,0.1,0.08,6.08,6.69,5.47,artist,en,2124,exact,scraped
