Keyword,ad_position_average,ad_position_max,ad_position_min,bid,cpc_average,cpc_max,cpc_min,daily_clicks_average,daily_clicks_max,daily_clicks_min,daily_cost_average,daily_cost_max,daily_cost_min,daily_impressions_average,daily_impressions_max,daily_impressions_min,key,language,loc_id,match,source
simple,1.06,1.0,1.11,100,6.47,7.12,5.83,0.08,0.09,0.07,0.53,0.59,0.48,9.21,10.13,8.29,simple,en,2124,exact,scraped
button,1.06,1.0,1.11,100,1.15,1.27,1.04,0.24,0.26,0.22,0.28,0.31,0.25,8.85,9.74,7.97,button,en,2124,exact,scraped
hard,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hard,en,2124,exact,scraped
human,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,human,en,2124,exact,scraped
mathematical,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mathematical,en,2124,exact,scraped
critically,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,critically,en,2124,exact,scraped
factor,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,factor,en,2124,exact,scraped
possible,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,possible,en,2124,exact,scraped
adam,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,adam,en,2124,exact,scraped
post,1.06,1.0,1.11,100,0.45,0.49,0.4,0.11,0.12,0.1,0.05,0.05,0.04,5.42,5.96,4.88,post,en,2124,exact,scraped
tensor,1.06,1.0,1.11,100,1.4,1.54,1.26,0.49,0.53,0.44,0.68,0.75,0.61,23.31,25.64,20.97,tensor,en,2124,exact,scraped
excited,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,excited,en,2124,exact,scraped
annouce,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,annouce,en,2124,exact,scraped
exist,1.06,1.0,1.11,100,0.41,0.45,0.37,0.01,0.01,0.01,0.0,0.0,0.0,0.9,0.99,0.81,exist,en,2124,exact,scraped
infrastructure,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,infrastructure,en,2124,exact,scraped
start,1.06,1.0,1.11,100,0.7,0.77,0.63,10.37,11.4,9.33,7.26,7.99,6.54,107.85,118.64,97.07,start,en,2124,exact,scraped
productive,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,productive,en,2124,exact,scraped
generation,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,generation,en,2124,exact,scraped
possibilities,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,possibilities,en,2124,exact,scraped
designate,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,designate,en,2124,exact,scraped
discussion,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,discussion,en,2124,exact,scraped
implementation,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,implementation,en,2124,exact,scraped
step,1.06,1.0,1.11,100,0.77,0.85,0.69,0.51,0.56,0.46,0.39,0.43,0.35,22.4,24.64,20.16,step,en,2124,exact,scraped
harass,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,harass,en,2124,exact,scraped
read,1.06,1.0,1.11,100,0.58,0.64,0.52,0.11,0.13,0.1,0.07,0.07,0.06,3.61,3.97,3.25,read,en,2124,exact,scraped
paperspace,1.06,1.0,1.11,100,5.29,5.82,4.76,0.99,1.09,0.89,5.25,5.77,4.72,23.67,26.03,21.3,paperspace,en,2124,exact,scraped
experience,1.06,1.0,1.11,100,0.89,0.98,0.8,0.08,0.09,0.07,0.07,0.08,0.07,7.05,7.75,6.34,experience,en,2124,exact,scraped
today,1.06,1.0,1.11,100,0.61,0.67,0.55,0.44,0.48,0.39,0.27,0.29,0.24,7.05,7.75,6.34,today,en,2124,exact,scraped
moderate,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moderate,en,2124,exact,scraped
setosa,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,setosa,en,2124,exact,scraped
bot,1.06,1.0,1.11,100,4.6,5.06,4.14,0.05,0.06,0.05,0.24,0.26,0.21,5.06,5.56,4.55,bot,en,2124,exact,scraped
deep,1.06,1.0,1.11,100,0.4,0.44,0.36,0.02,0.02,0.02,0.01,0.01,0.01,0.9,0.99,0.81,deep,en,2124,exact,scraped
reinforcement,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reinforcement,en,2124,exact,scraped
gradient,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gradient,en,2124,exact,scraped
update,1.06,1.0,1.11,100,0.63,0.7,0.57,0.61,0.67,0.55,0.38,0.42,0.35,14.09,15.5,12.68,update,en,2124,exact,scraped
guide,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,guide,en,2124,exact,scraped
create,1.06,1.0,1.11,100,0.67,0.74,0.6,0.98,1.08,0.88,0.66,0.72,0.59,34.51,37.96,31.06,create,en,2124,exact,scraped
kutsovsky,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kutsovsky,en,2124,exact,scraped
render,1.06,1.0,1.11,100,7.62,8.38,6.86,0.15,0.17,0.14,1.18,1.3,1.06,18.43,20.27,16.58,render,en,2124,exact,scraped
gpu,1.11,1.0,1.21,100,4.04,4.45,3.64,1.18,1.3,1.06,4.77,5.25,4.29,48.42,53.26,43.58,gpu,en,2124,exact,scraped
support,1.06,1.0,1.11,100,0.78,0.86,0.71,0.37,0.41,0.34,0.29,0.32,0.26,14.09,15.5,12.68,support,en,2124,exact,scraped
content,1.06,1.0,1.11,100,0.96,1.06,0.87,0.45,0.49,0.4,0.43,0.47,0.39,25.11,27.62,22.6,content,en,2124,exact,scraped
weight,1.06,1.0,1.11,100,1.2,1.32,1.08,0.15,0.16,0.13,0.17,0.19,0.16,5.6,6.16,5.04,weight,en,2124,exact,scraped
predictive,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,predictive,en,2124,exact,scraped
