Keyword,ad_position_average,ad_position_max,ad_position_min,bid,cpc_average,cpc_max,cpc_min,daily_clicks_average,daily_clicks_max,daily_clicks_min,daily_cost_average,daily_cost_max,daily_cost_min,daily_impressions_average,daily_impressions_max,daily_impressions_min,key,language,loc_id,match,source
sizes,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sizes,en,2124,exact,scraped
szabo,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,szabo,en,2124,exact,scraped
small,1.06,1.0,1.11,100,7.45,8.2,6.71,0.05,0.05,0.04,0.35,0.39,0.32,0.42,0.46,0.38,small,en,2124,exact,scraped
transforming,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,transforming,en,2124,exact,scraped
load,1.06,1.0,1.11,100,13.56,14.91,12.2,0.05,0.05,0.04,0.62,0.68,0.56,0.42,0.46,0.38,load,en,2124,exact,scraped
detail,1.06,1.0,1.11,100,32.49,35.74,29.24,0.29,0.32,0.26,9.33,10.27,8.4,6.76,7.44,6.08,detail,en,2124,exact,scraped
hilly,1.06,1.0,1.11,100,21.6,23.76,19.44,0.03,0.03,0.03,0.6,0.66,0.54,0.42,0.46,0.38,hilly,en,2124,exact,scraped
define,1.06,1.0,1.11,100,78.18,86.0,70.36,0.0,0.0,0.0,0.04,0.04,0.03,0.42,0.46,0.38,define,en,2124,exact,scraped
environments,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,environments,en,2124,exact,scraped
public,1.06,1.0,1.11,100,3.9,4.29,3.51,0.02,0.02,0.02,0.08,0.09,0.07,0.42,0.46,0.38,public,en,2124,exact,scraped
continually,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,continually,en,2124,exact,scraped
rank,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rank,en,2124,exact,scraped
statistic,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,statistic,en,2124,exact,scraped
collaborative,1.06,1.0,1.11,100,77.84,85.63,70.06,0.0,0.01,0.0,0.36,0.4,0.33,0.42,0.46,0.38,collaborative,en,2124,exact,scraped
dire,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dire,en,2124,exact,scraped
iterates,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iterates,en,2124,exact,scraped
successful,1.06,1.0,1.11,100,9.19,10.1,8.27,0.01,0.01,0.01,0.11,0.12,0.1,0.42,0.46,0.38,successful,en,2124,exact,scraped
augmenting,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,augmenting,en,2124,exact,scraped
developer,2.13,1.92,2.35,100,64.52,70.97,58.07,0.07,0.08,0.06,4.63,5.09,4.17,6.76,7.44,6.08,developer,en,2124,exact,scraped
linearity,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,linearity,en,2124,exact,scraped
talente,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,talente,en,2124,exact,scraped
get corners,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,get corners,en,2124,exact,scraped
optimized,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,optimized,en,2124,exact,scraped
directions,1.06,1.0,1.11,100,20.27,22.29,18.24,25.6,28.16,23.04,518.79,570.67,466.91,338.81,372.69,304.93,directions,en,2124,exact,scraped
separate,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,separate,en,2124,exact,scraped
based,1.06,1.0,1.11,100,8.75,9.62,7.87,0.13,0.14,0.11,1.12,1.23,1.0,3.24,3.56,2.91,based,en,2124,exact,scraped
adds,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,adds,en,2124,exact,scraped
word,1.06,1.0,1.11,100,15.32,16.85,13.79,193.26,212.58,173.93,2960.11,3256.12,2664.1,1269.07,1395.98,1142.16,word,en,2124,exact,scraped
embeddings,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,embeddings,en,2124,exact,scraped
oct,1.06,1.0,1.11,100,25.1,27.61,22.59,2.34,2.58,2.11,58.85,64.73,52.96,124.2,136.62,111.78,oct,en,2124,exact,scraped
pm,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pm,en,2124,exact,scraped
method,1.06,1.0,1.11,100,16.89,18.58,15.2,0.58,0.64,0.52,9.78,10.75,8.8,18.87,20.76,16.98,method,en,2124,exact,scraped
t size,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t size,en,2124,exact,scraped
currently,1.06,1.0,1.11,100,8.24,9.06,7.41,0.15,0.16,0.13,1.2,1.32,1.08,4.37,4.8,3.93,currently,en,2124,exact,scraped
computational,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,computational,en,2124,exact,scraped
differ,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,differ,en,2124,exact,scraped
building,1.06,1.0,1.11,100,21.76,23.93,19.58,0.08,0.09,0.08,1.85,2.03,1.66,3.94,4.34,3.55,building,en,2124,exact,scraped
sampled,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sampled,en,2124,exact,scraped
burden,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,burden,en,2124,exact,scraped
identifiable,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identifiable,en,2124,exact,scraped
rotate,1.17,1.05,1.28,100,15.67,17.24,14.11,0.26,0.29,0.24,4.12,4.54,3.71,8.31,9.14,7.48,rotate,en,2124,exact,scraped
amvillain,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,amvillain,en,2124,exact,scraped
